"TS","N","MBYTES"
"2013-08-17 00:00:00",16,11986.85
"2013-08-17 01:00:00",18,13479.02
"2013-08-17 02:00:00",22,16639.06
"2013-08-17 03:00:00",17,12790.39
"2013-08-17 04:00:00",21,15773.1
"2013-08-17 05:00:00",13,9384.98
"2013-08-17 06:00:00",13,10119.73
"2013-08-17 07:00:00",71,59167.77
"2013-08-17 08:00:00",10,7727.23
"2013-08-17 09:00:00",6,4469.74
"2013-08-17 10:00:00",10,7542.38
"2013-08-17 11:00:00",13,9827.62
"2013-08-17 12:00:00",9,6273.44
"2013-08-17 13:00:00",4,1787.64
"2013-08-17 14:00:00",4,1301
"2013-08-17 15:00:00",4,1172.49
"2013-08-17 16:00:00",4,1525.61
"2013-08-17 17:00:00",4,1398.65
"2013-08-17 18:00:00",4,1082.23
"2013-08-17 19:00:00",6,3259.62
"2013-08-17 20:00:00",15,11047.49
"2013-08-17 21:00:00",5,1768.36
"2013-08-17 22:00:00",4,638.21
"2013-08-17 23:00:00",11,8265.38
"2013-08-18 00:00:00",15,11234.7
"2013-08-18 01:00:00",22,16575.85
"2013-08-18 02:00:00",14,10485.67
"2013-08-18 03:00:00",29,21626.41
"2013-08-18 04:00:00",40,30749.06
"2013-08-18 05:00:00",20,15199.12
"2013-08-18 06:00:00",10,7441.95
"2013-08-18 07:00:00",70,59721.62
"2013-08-18 08:00:00",11,8449.24
"2013-08-18 09:00:00",5,3564.53
"2013-08-18 10:00:00",4,2311.8
"2013-08-18 11:00:00",10,7488.71
"2013-08-18 12:00:00",7,4109.34
"2013-08-18 13:00:00",4,1270.6
"2013-08-18 14:00:00",4,1277.55
"2013-08-18 15:00:00",4,1270.42
"2013-08-18 16:00:00",4,1336.89
"2013-08-18 17:00:00",4,1706.73
"2013-08-18 18:00:00",4,1502.48
"2013-08-18 19:00:00",9,6853.85
"2013-08-18 20:00:00",18,13009.7
"2013-08-18 21:00:00",8,5128.05
"2013-08-18 22:00:00",9,4396.33
"2013-08-18 23:00:00",9,6098.06
"2013-08-19 00:00:00",13,9722.38
"2013-08-19 01:00:00",14,10478.63
"2013-08-19 02:00:00",18,13540.34
"2013-08-19 03:00:00",13,9721.49
"2013-08-19 04:00:00",16,12022.69
"2013-08-19 05:00:00",16,12028.1
"2013-08-19 06:00:00",23,17652.76
"2013-08-19 07:00:00",74,62371.71
"2013-08-19 08:00:00",29,22468.5
"2013-08-19 09:00:00",26,20218.06
"2013-08-19 10:00:00",28,21249.68
"2013-08-19 11:00:00",37,31076.72
"2013-08-19 12:00:00",7,4534.27
"2013-08-19 13:00:00",5,3188.08
"2013-08-19 14:00:00",7,4908.29
"2013-08-19 15:00:00",9,6962.33
"2013-08-19 16:00:00",13,10063.16
"2013-08-19 17:00:00",4,2390.64
"2013-08-19 18:00:00",5,2910.75
"2013-08-19 19:00:00",5,3011.02
"2013-08-19 20:00:00",9,6332.21
"2013-08-19 21:00:00",15,11160.32
"2013-08-19 22:00:00",4,1142.62
"2013-08-19 23:00:00",14,10586.98
"2013-08-20 00:00:00",15,11247.41
"2013-08-20 01:00:00",15,11247.95
"2013-08-20 02:00:00",27,20360.28
"2013-08-20 03:00:00",14,10495.98
"2013-08-20 04:00:00",23,17290.85
"2013-08-20 05:00:00",11,8027.4
"2013-08-20 06:00:00",14,10725.22
"2013-08-20 07:00:00",68,58214.41
"2013-08-20 08:00:00",10,7562.16
"2013-08-20 09:00:00",26,20424.39
"2013-08-20 10:00:00",7,4744.92
"2013-08-20 11:00:00",10,7369.91
"2013-08-20 12:00:00",6,4294.85
"2013-08-20 13:00:00",5,2494.12
"2013-08-20 14:00:00",12,8618.7
"2013-08-20 15:00:00",4,1777.07
"2013-08-20 16:00:00",4,2279.53
"2013-08-20 17:00:00",9,6689.93
"2013-08-20 18:00:00",5,3130.09
"2013-08-20 19:00:00",8,5546.91
"2013-08-20 20:00:00",20,14645.67
"2013-08-20 21:00:00",4,1275.11
"2013-08-20 22:00:00",4,1423.43
"2013-08-20 23:00:00",14,10531.23
"2013-08-21 00:00:00",15,11251.01
