"TS","WAIT_CLASS","EVENT","READ_OR_WRITE","BLOCKING_SESSION","MACHINE","MODULE","IN_STAGE","SQL_ID","N"
"2013-09-01 06:37:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","EMPTY","NONE","",6
"2013-09-01 06:35:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1361
"2013-09-01 06:34:00","Concurrency","library cache: mutex X","READ","5819:17159","app12-host","Module1","SOFT PARSE","",94
"2013-09-01 06:33:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","EMPTY","NONE","",6
"2013-09-01 06:32:00","Concurrency","library cache: mutex X","READ","5819:17159","app12-host","Module1","SOFT PARSE","",99
"2013-09-01 06:32:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 06:31:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","MMON_SLAVE","NONE","",1
"2013-09-01 06:30:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","CURSOR CLOSE","",6
"2013-09-01 06:30:00","Concurrency","library cache: mutex X","WRITE","","app1-host","Module2","CONNECTION","",1
"2013-09-01 06:28:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","MMON_SLAVE","NONE","",6
"2013-09-01 06:28:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","EMPTY","NONE","",6
"2013-09-01 06:27:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 06:26:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",256
"2013-09-01 06:26:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",18
"2013-09-01 06:24:00","Concurrency","library cache: mutex X","READ","5715:40999","app12-host","Module1","SOFT PARSE","",170
"2013-09-01 06:24:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 06:23:00","Concurrency","library cache: mutex X","READ","5715:40999","app12-host","Module1","SOFT PARSE","",182
"2013-09-01 06:23:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",6
"2013-09-01 06:23:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","EMPTY","NONE","",6
"2013-09-01 06:22:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 06:21:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","MMON_SLAVE","NONE","",6
"2013-09-01 06:20:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","MMON_SLAVE","NONE","",6
"2013-09-01 06:19:00","Concurrency","library cache: mutex X","READ","5715:40999","app12-host","Module1","SOFT PARSE","",163
"2013-09-01 06:19:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",12
"2013-09-01 06:18:00","Concurrency","library cache: mutex X","READ","5715:40999","app12-host","Module1","SOFT PARSE","",173
